GLYMA20G36600.2,GLYMA20G36600.2,11
GLYMA18G00530.1,GLYMA18G00530.1,9
GLYMA12G04480.2,GLYMA12G04480.2,25
GLYMA04G39500.1,GLYMA04G39500.1,7
LOC548020,LOC548020,7
GLYMA13G23420.2,GLYMA13G23420.2,4
GLYMA08G22570.2,GLYMA08G22570.2,4
GLYMA07G03530.3,GLYMA07G03530.3,4
GLYMA11G15300.1,GLYMA11G15300.1,3
GLYMA17G37820.1,GLYMA17G37820.1,4
GLYMA14G40320.1,GLYMA14G40320.1,4
IMPDH1,IMPDH1,7
GLYMA10G12530.1,GLYMA10G12530.1,6
SMG1,SMG1,3
GLYMA06G15820.1,GLYMA06G15820.1,2
GLYMA04G39150.2,GLYMA04G39150.2,2
GLYMA18G47890.1,GLYMA18G47890.1,13
GLYMA13G37790.1,GLYMA13G37790.1,9
GLYMA14G34640.1,GLYMA14G34640.1,9
GLYMA14G33480.1,GLYMA14G33480.1,11
GLYMA19G32290.1,GLYMA19G32290.1,4
GLYMA01G37136.1,GLYMA01G37136.1,5
GLYMA06G10000.2,GLYMA06G10000.2,6
GLYMA04G09950.1,GLYMA04G09950.1,6
GLYMA12G35880.3,GLYMA12G35880.3,7
sdh3,sdh3,3
GF14C,GF14C,3
GLYMA08G12220.8,GLYMA08G12220.8,3
GLYMA09G24410.1,GLYMA09G24410.1,7
GLYMA16G29750.1,GLYMA16G29750.1,7
GLYMA02G17040.1,GLYMA02G17040.1,7
GLYMA10G02760.2,GLYMA10G02760.2,7
GLYMA05G35570.1,GLYMA05G35570.1,8
GLYMA14G39820.1,GLYMA14G39820.1,2
GLYMA11G06620.2,GLYMA11G06620.2,3
GLYMA01G38671.1,GLYMA01G38671.1,3
GLYMA20G26440.1,GLYMA20G26440.1,13
GLYMA19G43030.1,GLYMA19G43030.1,11
GLYMA05G32290.2,GLYMA05G32290.2,8
GLYMA08G15560.1,GLYMA08G15560.1,8
GLYMA15G07770.2,GLYMA15G07770.2,10
GLYMA14G29360.1,GLYMA14G29360.1,6
GLYMA20G22550.1,GLYMA20G22550.1,6
GLYMA20G20456.1,GLYMA20G20456.1,8
GLYMA16G23870.3,GLYMA16G23870.3,7
GLYMA20G23890.1,GLYMA20G23890.1,6
GLYMA01G04570.1,GLYMA01G04570.1,3
GLYMA02G02990.1,GLYMA02G02990.1,3
GLYMA01G14733.1,GLYMA01G14733.1,1
GLYMA11G16460.2,GLYMA11G16460.2,1
